Measure,Time,Time_type,Ethnicity,Ethnicity_type,Gender,Gender_type,Age Bracket,Age Bracket Type,Value,Denominator,Numerator,Upper bound,Lower bound,Note
Unemployment in the labour force,1993,Year,White,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.098,26216,,,,
Unemployment in the labour force,1993,Year,Black,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.275,415,,,,
Unemployment in the labour force,1993,Year,Mixed or multiple,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.216,93,,,,
Unemployment in the labour force,1993,Year,Indian,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.141,414,,,,
Unemployment in the labour force,1993,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.321,207,,,,
Unemployment in the labour force,1993,Year,Chinese,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.092,65,,,,
Unemployment in the labour force,1993,Year,Other Asian,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.165,74,,,,
Unemployment in the labour force,1993,Year,Other  ,ONS labour expanded Asian,,All,16+,Labour force age brackets,0.194,51,,,,
Unemployment in the labour force,1993,Year,Unknown,ONS labour expanded Asian,,All,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Ethnic Minority,White and other,,All,16+,Labour force age brackets,0.218,1320,,,,
Unemployment in the labour force,1993,Year,All,All,,All,16+,Labour force age brackets,0.103,27541,,,,
Unemployment in the labour force,1993,Year,White,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.116,14583,,,,
Unemployment in the labour force,1993,Year,Black,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.332,217,,,,
Unemployment in the labour force,1993,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.227,48,,,,
Unemployment in the labour force,1993,Year,Indian,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.146,240,,,,
Unemployment in the labour force,1993,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.314,156,,,,
Unemployment in the labour force,1993,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.08,36,,,,Small sample size
Unemployment in the labour force,1993,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.179,41,,,,
Unemployment in the labour force,1993,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,0.21,35,,,,
Unemployment in the labour force,1993,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Ethnic Minority,White and other,Male,Male/Female,16+,Labour force age brackets,0.239,774,,,,
Unemployment in the labour force,1993,Year,All,All,Male,Male/Female,16+,Labour force age brackets,0.122,15358,,,,
Unemployment in the labour force,1993,Year,White,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.074,11633,,,,
Unemployment in the labour force,1993,Year,Black,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.212,198,,,,
Unemployment in the labour force,1993,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.205,45,,,,
Unemployment in the labour force,1993,Year,Indian,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.134,174,,,,
Unemployment in the labour force,1993,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.341,52,,,,
Unemployment in the labour force,1993,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.107,29,,,,Small sample size
Unemployment in the labour force,1993,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.146,33,,,,
Unemployment in the labour force,1993,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,0.161,16,,,,Small sample size
Unemployment in the labour force,1993,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,16+,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Ethnic Minority,White and other,Female,Male/Female,16+,Labour force age brackets,0.188,547,,,,
Unemployment in the labour force,1993,Year,All,All,Female,Male/Female,16+,Labour force age brackets,0.079,12182,,,,
Unemployment in the labour force,1993,Year,White,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.17,4618,,,,
Unemployment in the labour force,1993,Year,Black,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.42,64,,,,
Unemployment in the labour force,1993,Year,Mixed or multiple,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.351,30,,,,
Unemployment in the labour force,1993,Year,Indian,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.212,69,,,,
Unemployment in the labour force,1993,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.43,67,,,,
Unemployment in the labour force,1993,Year,Chinese,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Other Asian,ONS labour expanded Asian,,All,16-24,Labour force age brackets,0.349,9,,,,Small sample size
Unemployment in the labour force,1993,Year,Other  ,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Unknown,ONS labour expanded Asian,,All,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Ethnic Minority,White and other,,All,16-24,Labour force age brackets,0.342,252,,,,
Unemployment in the labour force,1993,Year,All,All,,All,16-24,Labour force age brackets,0.179,4871,,,,
Unemployment in the labour force,1993,Year,White,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.203,2476,,,,
Unemployment in the labour force,1993,Year,Black,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.495,29,,,,
Unemployment in the labour force,1993,Year,Mixed or multiple,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.363,15,,,,
Unemployment in the labour force,1993,Year,Indian,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.21,35,,,,
Unemployment in the labour force,1993,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,0.441,41,,,,
Unemployment in the labour force,1993,Year,Chinese,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Other Asian,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Other  ,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Unknown,ONS labour expanded Asian,Male,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Ethnic Minority,White and other,Male,Male/Female,16-24,Labour force age brackets,0.362,133,,,,
Unemployment in the labour force,1993,Year,All,All,Male,Male/Female,16-24,Labour force age brackets,0.211,2610,,,,
Unemployment in the labour force,1993,Year,White,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.132,2141,,,,
Unemployment in the labour force,1993,Year,Black,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.373,34,,,,
Unemployment in the labour force,1993,Year,Mixed or multiple,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.344,15,,,,
Unemployment in the labour force,1993,Year,Indian,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.201,33,,,,
Unemployment in the labour force,1993,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,0.44,25,,,,
Unemployment in the labour force,1993,Year,Chinese,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Other Asian,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Other  ,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Unknown,ONS labour expanded Asian,Female,Male/Female,16-24,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Ethnic Minority,White and other,Female,Male/Female,16-24,Labour force age brackets,0.33,119,,,,
Unemployment in the labour force,1993,Year,All,All,Female,Male/Female,16-24,Labour force age brackets,0.142,2262,,,,
Unemployment in the labour force,1993,Year,White,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.082,16036,,,,
Unemployment in the labour force,1993,Year,Black,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.254,278,,,,
Unemployment in the labour force,1993,Year,Mixed or multiple,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.16,56,,,,
Unemployment in the labour force,1993,Year,Indian,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.117,290,,,,
Unemployment in the labour force,1993,Year,Pakistani/Bangladeshi,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.246,115,,,,
Unemployment in the labour force,1993,Year,Chinese,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.077,48,,,,Small sample size
Unemployment in the labour force,1993,Year,Other Asian,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.133,54,,,,
Unemployment in the labour force,1993,Year,Other  ,ONS labour expanded Asian,,All,25-49,Labour force age brackets,0.188,39,,,,
Unemployment in the labour force,1993,Year,Unknown,ONS labour expanded Asian,,All,25-49,Labour force age brackets,* *,* *,,,,Suppressed
Unemployment in the labour force,1993,Year,Ethnic Minority,White and other,,All,25-49,Labour force age brackets,0.182,880,,,,
Unemployment in the labour force,1993,Year,All,All,,All,25-49,Labour force age brackets,0.088,16920,,,,
